"","date","trend","low_frequency","high_frequency","prediction"
"1",2019-08-27,31.9463483876287,-0.144672005041355,0.0662881797312291,31.8679645623185
"2",2019-08-28,31.9932679177692,-0.252153436499409,0.100088189533368,31.8412026708032
"3",2019-08-29,32.0402276033838,-0.391354631277632,0.0881185566240289,31.7369915287302
"4",2019-08-30,32.0872274444725,-0.594550697594254,0.0775803824377653,31.570257129316
"5",2019-09-02,32.1342674410352,-0.874280957697089,0.0683024775912942,31.3282889609295
"6",2019-09-03,32.1813475930721,-1.06837958301392,0.0601341253873255,31.1731021354455
"7",2019-09-04,32.2284679005829,-1.19068137168037,0.0529426334683867,31.090729162371
"8",2019-09-05,32.2756283635679,-1.31497043426126,0.0466111782704786,31.0072691075771
"9",2019-09-06,32.3228289820269,-1.53649142717161,0.0410369072603773,30.8273744621157
"10",2019-09-09,32.37006975596,-1.77877609995201,0.0361292681280146,30.627422924136
"11",2019-09-10,32.4173506853671,-1.95597398478716,0.0318085377921819,30.4931852383722
"12",2019-09-11,32.4646717702483,-2.06074280774805,0.0280045273237108,30.431933489824
"13",2019-09-12,32.5120330106036,-2.19931376589548,0.0246554417480085,30.3373746864562
"14",2019-09-13,32.559434406433,-2.41137797344236,0.0217068762047897,30.1697633091954
"15",2019-09-16,32.6068759577364,-2.63452604357945,0.0191109321579332,29.9914608463149
"16",2019-09-17,32.6543576645139,-2.78420503506714,0.0168254392985637,29.8869780687453
"17",2019-09-18,32.7018795267655,-2.88732144110992,0.0148132705014148,29.8293713561569
"18",2019-09-19,32.7494415444911,-3.0292346531886,0.0130417387061518,29.7332486300086
"19",2019-09-20,32.7970437176908,-3.23604929912536,0.011482065926177,29.5724764844916
"20",2019-09-23,32.8446860463645,-3.43433524335455,0.0101089157591301,29.4204597187691
"21",2019-09-24,32.8923685305123,-3.56572793816122,0.00889998180486096,29.335540574156
"22",2019-09-25,32.9400911701342,-3.66609290557007,0.0078356253048519,29.281833889869
"23",2019-09-26,32.9878539652302,-3.81260362718094,0.00689855611665429,29.1821488941659
"24",2019-09-27,33.0356569158002,-4.00894686942293,0.00607355184086712,29.0327835982182
"25",2019-09-30,33.0835000218443,-4.18550398274599,0.00534721053796264,28.9033432496363
"26",2019-10-01,33.1313832833625,-4.30109810525532,0.00470773301791995,28.8349929111251
"27",2019-10-02,33.1793067003547,-4.40178994806193,0.00414473116602924,28.7816614834588
"28",2019-10-03,33.227270272821,-4.54980030065496,0.00364905919117825,28.6811190313572
"29",2019-10-04,33.2752740007614,-4.73444274816423,0.0032126650553018,28.5440439176524
"30",2019-10-07,33.3233178841758,-4.89037347511656,0.0028284596705116,28.4357728687298
"31",2019-10-08,33.3714019230643,-4.99429124743112,0.002490201739054,28.3796008773723
"32",2019-10-09,33.4195261174269,-5.09590723615105,0.00219239636535668,28.3258112776412
"33",2019-10-10,33.4676904672635,-5.24358443119683,0.00193020579314797,28.2260362418598
"34",2019-10-11,33.5158949725742,-5.4149514735009,0.00169937081760115,28.1026428698909
"35",2019-10-14,33.564139633359,-5.55257290464037,0.00149614159586818,28.0130628703145
"36",2019-10-15,33.6124244496178,-5.64774101592123,0.00131721673204132,27.9660006504286
"37",2019-10-16,33.6607494213507,-5.75073716306937,0.00115968964699682,27.9111719479284
"38",2019-10-17,33.7091145485577,-5.89592588168791,0.00102100136191514,27.8142096682317
"39",2019-10-18,33.7575198312388,-6.05343476228643,0.000898898928460848,27.7049839678808
"40",2019-10-21,33.8059652693939,-6.17498938398523,0.000791398830333015,27.631767284239
"41",2019-10-22,33.854450863023,-6.26398862723137,0.00069675476165588,27.5911589905533
"42",2019-10-23,33.9029766121263,-6.36812633276947,0.000613429258779497,27.5354637086156
"43",2019-10-24,33.9515425167036,-6.50902935055992,0.000540068724657832,27.4430532348683
"44",2019-10-25,34.000148576755,-6.65255740686788,0.000475481440083024,27.3480666513272
"45",2019-10-28,34.0487947922804,-6.76041987169759,0.000418618204575101,27.2887935387874
"46",2019-10-29,34.0974811632799,-6.8452014022725,0.000368555292444396,27.2526483162999
"47",2019-10-30,34.1462076897535,-6.94992332812841,0.000324479447153152,27.1966088410723
"48",2019-10-31,34.1949743717012,-7.08499720562667,0.000285674670214375,27.1102628407447
"49",2019-11-01,34.2437812091229,-7.21492883308782,0.000251510590017656,27.0291038866251
"50",2019-11-04,34.2926282020187,-7.31136811461196,0.00022143222163715,26.9814815196284
"51",2019-11-05,34.3415153503885,-7.39337776992926,0.000194950951272954,26.9483325314105
"52",2019-11-06,34.3904426542325,-7.49786974137691,0.000171636598870909,26.8927445494544
"53",2019-11-07,34.4394101135504,-7.62592569128844,0.00015111042998055,26.813635532692
"54",2019-11-08,34.4884177283425,-7.74300100489784,0.00013303900333099,26.745549762448
"55",2019-11-11,34.5374654986086,-7.8301254267646,0.000117128754180511,26.7074572005982
"56",2019-11-12,34.5865534243488,-7.9103278074307,0.000103121225448048,26.6763287381436
"57",2019-11-13,34.6356815055631,-8.0136605783429,9.07888691577706e-05,26.6221117160893
"58",2019-11-14,34.6848497422514,-8.13385795350448,7.99313499925328e-05,26.5510717200969
"59",2019-11-15,34.7340581344138,-8.23908418366737,7.03722909085485e-05,26.4950443230373
"60",2019-11-18,34.7833066820503,-8.318765838853,6.19564079448178e-05,26.4646027996052
"61",2019-11-19,34.8325953851608,-8.39772167410537,5.45469876831648e-05,26.4349282580431
"62",2019-11-20,34.8819242437454,-8.49894112333052,4.80236663810043e-05,26.3830311440812
"63",2019-11-21,34.931293257804,-8.61078200596191,4.22804746995369e-05,26.3205535323168
"64",2019-11-22,34.9807024273368,-8.70533160215177,3.72241162645857e-05,26.2754080493013
"65",2019-11-25,35.0301517523436,-8.77917277300699,3.27724520958269e-05,26.2510117517887
"66",2019-11-26,35.0796412328244,-8.85711070513302,2.8853166284436e-05,26.2225593808577
"67",2019-11-27,35.1291708687794,-8.95531689178192,2.54025912434951e-05,26.1738793795887
"68",2019-11-28,35.1787406602084,-9.05861467044529,2.23646734477171e-05,26.1201483544365
"69",2019-11-29,35.2283506071114,-9.14374061724303,1.96900628612486e-05,26.0846296799313
"70",2019-12-02,35.2780007094886,-9.21305762294898,1.73353112615869e-05,26.0649604218509
"71",2019-12-03,35.3276909673398,-9.2899514408075,1.52621664366308e-05,26.0377547886987
"72",2019-12-04,35.377421380665,-9.38435351461862,1.34369507893162e-05,25.9930813029972
"73",2019-12-05,35.4271919494644,-9.47919179703702,1.18300142554573e-05,25.9480119824416
"74",2019-12-06,35.4770026737378,-9.55615423096491,1.04152526476168e-05,25.9208588580255
"75",2019-12-09,35.5268535534853,-9.62198144694658,9.16968360064721e-06,25.9048812762223
"76",2019-12-10,35.5767445887068,-9.6976227868735,8.07307323027041e-06,25.8791298749065
"77",2019-12-11,35.6266757794024,-9.78757554838384,7.10760743988033e-06,25.839107338626
"78",2019-12-12,35.6766471255721,-9.87425909127433,6.2576025360481e-06,25.8023942919003
"79",2019-12-13,35.7266586272158,-9.9442672285219,5.50925045176875e-06,25.7823969079444
"80",2019-12-16,35.7767102843337,-10.0073748770944,4.85039443867946e-06,25.7693402576337
"81",2019-12-17,35.8268020969255,-10.0814397500499,4.27033158443895e-06,25.7453666172072
"82",2019-12-18,35.8769340649915,-10.1664627209471,3.75963894722377e-06,25.7104751036834
"83",2019-12-19,35.9271061885315,-10.2454658887161,3.31002048295014e-06,25.6816436098359
"84",2019-12-20,35.9773184675456,-10.3096345297769,2.91417227860135e-06,25.667686851941
"85",2019-12-23,36.0275709020337,-10.3705568448152,2.56566390241776e-06,25.6570166228825
"86",2019-12-24,36.0778634919959,-10.4426631545589,2.25883394351993e-06,25.635202596271
"87",2019-12-27,36.1281962374322,-10.5224453369627,1.98869804403827e-06,25.6057528891676
"88",2019-12-30,36.1785691383426,-10.5943613188926,1.75086792975968e-06,25.584209570318
"89",2019-12-31,36.228982194727,-10.6536814900665,1.54148012396896e-06,25.5753022461407
"90",2020-01-02,36.2794354065855,-10.7127512421239,1.35713318646342e-06,25.5666855215948
"91",2020-01-03,36.329928773918,-10.7825062037502,1.19483245820784e-06,25.5474237650003
"92",2020-01-06,36.3804622967247,-10.8568993303794,1.05194141402383e-06,25.5235640182866
"93",2020-01-07,36.4310359750054,-10.9223929809382,9.26138833052992e-07,25.508643920206
"94",2020-01-08,36.4816498087601,-10.9777152515901,8.15381091241388e-07,25.5039353725511
"95",2020-01-09,36.532303797989,-11.0351013844493,7.17868963298245e-07,25.4972031314086
"96",2020-01-10,36.5829979426918,-11.1021383650948,6.32018394837089e-07,25.4808602096155
"97",2020-01-13,36.6337322428688,-11.1711416361515,5.56434769901728e-07,25.462591163152
"98",2020-01-14,36.6845066985198,-11.2309078395738,4.89890255860983e-07,25.4535993488362
"99",2020-01-15,36.7353213096449,-11.28293655181,4.31303857647005e-07,25.4523851891388
"100",2020-01-16,36.7861760762441,-11.3386821348581,3.79723857324438e-07,25.4474943211098
"101",2020-01-17,36.8370709983173,-11.4026872054922,3.3431235372664e-07,25.4343841271375
"102",2020-01-20,36.8880060758646,-11.4664262806302,2.94331651010154e-07,25.421580089566
"103",2020-01-21,36.938981308886,-11.5211550474826,2.59132275013683e-07,25.4178265205357
"104",2020-01-22,36.9899966973814,-11.5704514266695,2.28142422751029e-07,25.4195454988543
"105",2020-01-23,37.0410522413509,-11.6245097462758,2.00858673648278e-07,25.4165426959338
"106",2020-01-24,37.0921479407945,-11.6852387315429,1.76837811632136e-07,25.4069093860894
"107",2020-01-27,37.1432837957121,-11.7439414779058,1.55689625221772e-07,25.399342473496
"108",2020-01-28,37.1944598061038,-11.7942903179645,1.37070568663897e-07,25.4001696252099
"109",2020-01-29,37.2456759719696,-11.8412823815887,1.20678181138152e-07,25.404393711059
"110",2020-01-30,37.2969322933094,-11.8935495673581,1.06246173374551e-07,25.4033828321975
"111",2020-01-31,37.3482287701234,-11.9508367518359,9.35401018665701e-08,25.3973921118276
"112",2020-02-03,37.3995654024113,-12.004807876764,8.23535604088318e-08,25.3947576080009
"113",2020-02-04,37.4509421901734,-12.0513814612957,7.25048270920789e-08,25.3995608013825
"114",2020-02-05,37.5023591334095,-12.0963787086096,6.38339122869117e-08,25.4059804886338
